Fecha y Hora,Tipo Combustible,Nombre Estación,Dirección,Localidad,Precio,Latitud,Longitud
2025-07-22 16:31:09,Diesel,BALLENOIL,"RONDA SEGOVIA, 37",MADRID,1.359,40.41025,-3.717528
2025-07-22 16:31:09,Diesel,SHELL,"PASEO SANTA MARIA DE LA CABEZA, 90",MADRID,1.409,40.397722,-3.702472
2025-07-22 16:31:09,Diesel,SHELL,"CALLE GOYA, 24",MADRID,1.429,40.425,-3.683
2025-07-22 16:31:09,Diesel,SHELL,"CALLE ANTONIO DE LEYVA, 87",MADRID,1.439,40.386556,-3.717
2025-07-22 16:31:09,Diesel,SHELL,"CALLE ALBERTO AGUILERA, 18",MADRID,1.449,40.43,-3.7085
2025-07-22 16:31:48,Diesel,PLENERGY,"TRAVESÍA SU EMINENCIA, 2",SEVILLA,1.245,37.364722,-5.956833
2025-07-22 16:31:48,Diesel,BALLENOIL,"CALLE MARQUES DE PARADAS, 53",SEVILLA,1.255,37.383778,-5.984889
2025-07-22 16:31:48,Diesel,BALLENOIL,"AVENIDA SAN JERONIMO, S/N",SEVILLA,1.259,37.427361,-5.9785
2025-07-22 16:31:48,Diesel,PERTROPRIX,"CALLE METALURGIA, S/N",CALONGE,1.265,37.40375,-5.96025
2025-07-22 16:31:48,Diesel,ALCAMPO S.A.,"CALLE RONDA DEL TAMARGUILLO, S/N",SEVILLA,1.275,37.370472,-5.965194
